id,category_id,name,price,created_at,updated_at
201,24,around,200.28,2024-10-31 14:00:00,2024-10-31 14:00:00
202,12,long,443.73,2024-10-31 14:00:00,2024-10-31 14:00:00
203,17,cause,227.51,2024-10-31 14:00:00,2024-10-31 14:00:00
204,22,must,345.76,2024-10-31 14:00:00,2024-10-31 14:00:00
205,20,just,854.92,2024-10-31 14:00:00,2024-10-31 14:00:00
206,23,loss,660.39,2024-10-31 14:00:00,2024-10-31 14:00:00
207,5,organization,884.34,2024-10-31 14:00:00,2024-10-31 14:00:00
208,24,article,714.27,2024-10-31 14:00:00,2024-10-31 14:00:00
209,14,operation,834.75,2024-10-31 14:00:00,2024-10-31 14:00:00
210,22,maintain,655.98,2024-10-31 14:00:00,2024-10-31 14:00:00
211,12,remember,798.01,2024-10-31 14:00:00,2024-10-31 14:00:00
212,6,surface,625.62,2024-10-31 14:00:00,2024-10-31 14:00:00
213,10,foot,693.79,2024-10-31 14:00:00,2024-10-31 14:00:00
214,3,several,670.39,2024-10-31 14:00:00,2024-10-31 14:00:00
215,5,age,181.56,2024-10-31 14:00:00,2024-10-31 14:00:00
216,6,individual,609.69,2024-10-31 14:00:00,2024-10-31 14:00:00
217,4,environmental,795.55,2024-10-31 14:00:00,2024-10-31 14:00:00
218,16,technology,310.62,2024-10-31 14:00:00,2024-10-31 14:00:00
219,7,about,561.26,2024-10-31 14:00:00,2024-10-31 14:00:00
220,1,skill,365.2,2024-10-31 14:00:00,2024-10-31 14:00:00
