id,name,created_at,updated_at
1,black,2024-10-31 13:00:00,2024-10-31 13:00:00
2,job,2024-10-31 13:00:00,2024-10-31 13:00:00
3,give,2024-10-31 13:00:00,2024-10-31 13:00:00
4,series,2024-10-31 13:00:00,2024-10-31 13:00:00
5,marriage,2024-10-31 13:00:00,2024-10-31 13:00:00
6,black,2024-10-31 13:00:00,2024-10-31 13:00:00
7,responsibility,2024-10-31 13:00:00,2024-10-31 13:00:00
8,spend,2024-10-31 13:00:00,2024-10-31 13:00:00
9,certain,2024-10-31 13:00:00,2024-10-31 13:00:00
10,accept,2024-10-31 13:00:00,2024-10-31 13:00:00
11,oil,2024-10-31 13:00:00,2024-10-31 13:00:00
12,woman,2024-10-31 13:00:00,2024-10-31 13:00:00
13,coach,2024-10-31 13:00:00,2024-10-31 13:00:00
14,investment,2024-10-31 13:00:00,2024-10-31 13:00:00
15,read,2024-10-31 13:00:00,2024-10-31 13:00:00
16,worry,2024-10-31 13:00:00,2024-10-31 13:00:00
17,up,2024-10-31 13:00:00,2024-10-31 13:00:00
18,unit,2024-10-31 13:00:00,2024-10-31 13:00:00
19,maybe,2024-10-31 13:00:00,2024-10-31 13:00:00
20,me,2024-10-31 13:00:00,2024-10-31 13:00:00
